"alias","service_name","grpc_service_name","grpc_method_name","access_role"
"blacklistAdd","blacklist-service","BlacklistService","AddToBlacklist","BUYER"
"blacklistGet","blacklist-service","BlacklistService","GetBlacklist","BUYER"
"blacklistExists","blacklist-service","BlacklistService","ExistInBlacklist","BUYER"
"blacklistDeleteOne","blacklist-service","BlacklistService","DeleteFromBlacklist","BUYER"
"blacklistDeleteAll","blacklist-service","BlacklistService","DeleteAllRecordsWhereUserBlocks","BUYER"
"blacklistDeleteAllRecords","blacklist-service","BlacklistService","DeleteAllRecordsWhereUserIsBlocked","BUYER"
"addressSave","address-service","AddressService","SaveAddressIfNotExists","BUYER"
"addressGet","address-service","AddressService","GetAddress","BUYER"
"lotFavoritesAdd","favorites-service","LotFavoritesService","addToFavorites","BUYER"
"lotFavoritesDelete","favorites-service","LotFavoritesService","removeFromFavorites","BUYER"
"lotFavoritesExist","favorites-service","LotFavoritesService","existInFavorites","BUYER"
"lotFavoritesGet","favorites-service","LotFavoritesService","getFavoriteLots","BUYER"
"lotFavoritesCounter","favorites-service","LotFavoritesService","getCounter","BUYER"
"lotFavoritesDeleteByOwner","favorites-service","LotFavoritesService","removeAllByOwner","BUYER"
"lotFavoritesDeleteByLot","favorites-service","LotFavoritesService","removeAllByFavoriteLot","BUYER"
"profileFavoriteAdd","favorites-service","ProfileFavoritesService","addToFavorites","BUYER"
"profileFavoriteRemove","favorites-service","ProfileFavoritesService","removeFromFavorites","BUYER"
"profileFavoriteExist","favorites-service","ProfileFavoritesService","existsInFavorites","BUYER"
"profileFavoriteGet","favorites-service","ProfileFavoritesService","getFavoriteProfiles","BUYER"
"profileFavoriteDeleteByOwner","favorites-service","ProfileFavoritesService","removeAllByOwner","BUYER"
"profileFavoriteDeleteByProfile","favorites-service","ProfileFavoritesService","removeAllByFavoriteProfile","BUYER"
"categoryGetChild","parameter-service","CategoryService","getChild","BUYER"
"parameterGet","parameter-service","CategoryService","getParametersByCategory","BUYER"
"parameterValidate","parameter-service","CategoryService","validateValuesForParameters","BUYER"
"profileGetPage","profile-service","ProfileServiceExternal","GetProfilePage","BUYER"
"profileGetInfo","profile-service","ProfileServiceExternal","GetProfileInfo","BUYER"
"profileSetInfo","profile-service","ProfileServiceExternal","SetProfileInfo","BUYER"
"profileGetSettings","profile-service","ProfileServiceExternal","GetSettings","BUYER"
"profileSetSettings","profile-service","ProfileServiceExternal","SetSettings","BUYER"
"profileGetChannelTypes","profile-service","ProfileServiceExternal","GetChannelTypes","BUYER"
"profileGetLinks","profile-service","ProfileServiceExternal","GetLinks","BUYER"
"profileDelete","profile-service","ProfileServiceExternal","DeleteProfile","BUYER"
"authPhoneLoginInit","auth-service","AuthService","PhoneLoginInit","ANY"
"authPhoneLoginVerify","auth-service","AuthService","PhoneLoginVerify","ANY"
"authIssueNewTokens","auth-service","AuthService","IssueNewTokens","ANY"
